FIRE,MIN_NEAR_D,vegID,geomor1,aspect,slope,dem,Bio1,Bio2,Bio3,Bio4,Bio5,Bio6,Bio7,Bio8,Bio9,Bio10,Bio11,Bio12,Bio13,Bio14,Bio15,Bio16,Bio17,Bio18,Bio19,tadem,pa,im,aridity
No,4468.571 ,6,42,185.818 ,89.998 ,903,-4.875,14.4,25.7143,1590.5309,22.5,-33.5,56,14.2167,-24.65,14.2167,-24.65,539,138,4,102.9137,348,15,348,15,-59,4819,688,761
No,4816.583 ,6,42,158.341 ,89.997 ,995,-4.7125,14.675,26.2993,1576.3063,22.5,-33.3,55.8,14.2,-24.3,14.2,-24.3,552,140,5,100.5315,351,18,351,18,-57,4932,737,762
No,14277.508 ,6,30,137.603 ,89.941 ,602,-2.5208,14.625,26.1161,1558.7501,24,-32,56,15.8333,-22.3167,15.8333,-22.3167,525,142,4,107.1954,345,13,345,13,-44,5142,898,763
No,9156.896 ,30,39,342.667 ,89.996 ,667,-3.0542,14.3917,25.7915,1564.5977,23.6,-32.2,55.8,15.4333,-22.8333,15.4333,-22.8333,540,142,4,104.5905,350,14,350,14,-33,5127,905,764
No,2551.559 ,10,31,347.969 ,89.985 ,360,-1.5583,14.5833,25.0143,1649.2103,25.4,-32.9,58.3,17.45,-18.7667,17.45,-22.9833,504,140,3,109.3316,334,13,334,13,-31,5128,900,765
No,3532.747 ,3,25,179.750 ,89.992 ,655,-2.5667,13.95,25.226,1560.5861,24,-31.3,55.3,15.9167,-22.2667,15.9167,-22.2667,525,137,4,102.732,335,14,335,14,-36,5077,856,767
No,2513.675 ,6,42,24.669 ,89.997 ,860,-3.9958,14.6917,25.7749,1593.9252,23.3,-33.7,57,14.8167,-24.2333,14.8167,-24.2333,528,138,4,103.8215,342,16,342,16,-58,4924,712,769
No,8198.169 ,6,42,46.777 ,89.997 ,1064,-4.7917,14.3667,25.609,1593.7075,22.6,-33.5,56.1,14.3167,-24.6333,14.3167,-24.6333,533,137,4,103.0721,344,15,344,15,-57,4895,687,770
No,1264.378 ,6,30,313.031 ,89.996 ,579,-3.6167,14.5667,25.1583,1656.9583,24.2,-33.7,57.9,15.85,-24.6667,15.85,-24.6667,502,129,4,103.3049,323,14,323,14,-28,4999,772,770
No,11040.011 ,6,42,75.700 ,89.965 ,867,-5.125,14.6833,26.0343,1599.4893,22.5,-33.9,56.4,14.05,-25.0167,14.05,-25.0167,524,138,3,106.7878,347,12,347,12,-60,4775,627,772
No,94.080 ,5,42,334.699 ,89.985 ,663,-3.0333,14.3167,24.8122,1658.7075,24.7,-33,57.7,16.4167,-24.1333,16.4167,-24.1333,502,128,5,100.6175,317,16,317,16,-18,5225,869,774
No,3983.853 ,6,42,267.455 ,89.990 ,724,-4.6208,14.5583,25.9045,1602.0221,22.8,-33.4,56.2,14.5333,-24.5833,14.5333,-24.5833,531,137,4,102.7268,342,15,342,15,-58,4884,663,775
No,1612.269 ,6,42,29.407 ,89.990 ,962,-3.4333,14.7,26.25,1556.0853,23.4,-32.6,56,15,-23.1,15,-23.1,539,140,5,103.0017,348,17,348,17,-28,4983,740,775
No,3744.325 ,6,42,164.454 ,89.987 ,882,-3.2875,14.2417,25.7535,1550.6584,23.3,-32,55.3,15.1,-22.8333,15.1,-22.8333,552,145,4,103.8301,356,15,356,15,-33,5109,862,775
No,1677.999 ,6,22,22.810 ,89.984 ,383,-2.4917,13.9333,25.2415,1554.3134,24,-31.2,55.2,15.9333,-22.1,15.9333,-22.1,528,137,4,102.9007,338,14,338,14,-35,5064,823,775
No,1230.316 ,6,42,154.041 ,89.995 ,725,-2.8,14.75,26.3393,1554.8561,23.8,-32.2,56,15.5667,-22.4833,15.5667,-22.4833,528,142,3,107.0951,346,12,346,12,-27,4974,724,776
No,13685.843 ,6,41,249.482 ,89.989 ,609,-2.9375,14.525,26.1241,1546.865,23.5,-32.1,55.6,15.35,-22.5167,15.35,-22.5167,539,145,3,107.2148,354,12,354,12,-30,5170,866,777
No,131.999 ,6,22,195.996 ,89.994 ,495,-2.1,14.6333,25.8539,1583.892,24.7,-31.9,56.6,16.5,-22.2667,16.5,-22.2667,524,136,5,102.3964,334,17,334,17,-24,5124,858,778
No,3570.625 ,8,42,288.143 ,89.995 ,1121,-5.4292,13.7917,25.2133,1562.0986,21.7,-33,54.7,13.5333,-24.6,13.5333,-24.6,552,143,4,103.8737,358,15,358,15,-59,4879,648,779
No,1471.085 ,6,42,101.310 ,89.976 ,791,-2.85,14.4333,26.3382,1521.7335,23.3,-31.5,54.8,15.2167,-21.9833,15.2167,-21.9833,541,149,3,108.7374,359,12,359,12,-40,5240,853,780
No,3987.690 ,4,42,227.770 ,89.979 ,560,-2.3875,13.825,25,1562.7236,24.2,-31.1,55.3,16.1167,-22.1333,16.1167,-22.1333,523,136,4,103.0332,335,14,335,14,-40,5072,818,781
No,2314.147 ,10,31,72.255 ,89.965 ,617,-2.7708,14.6917,26.6153,1525.8282,23.4,-31.8,55.2,15.2833,-22.0667,15.2833,-22.0667,544,150,3,108.946,361,12,361,12,-32,5249,839,782
No,3286.131 ,6,14,355.717 ,89.992 ,234,-2.7375,14.1083,24.1995,1693.2635,25.7,-32.6,58.3,17.1667,-24.1833,17.1667,-24.1833,471,117,4,98.8928,294,16,294,16,-28,4958,693,782
No,2656.718 ,21,21,37.875 ,89.919 ,364,-1.1208,14.275,24.9563,1623.7072,25.5,-31.7,57.2,17.6667,-18.05,17.6667,-22.0833,502,140,3,110.6196,334,11,334,11,-41,4989,732,782
No,4224.073 ,6,42,254.332 ,89.989 ,985,-5.575,14.7,25.9717,1603.0149,22.1,-34.5,56.6,13.6833,-25.5167,13.6833,-25.5167,529,138,3,104.8373,346,13,346,13,-61,4721,558,783
No,1278.880 ,4,24,316.668 ,89.987 ,269,-1.425,13.55,23.3621,1687.8544,26.1,-31.9,58,18.2,-23.1167,18.2,-23.1167,490,123,4,98.322,303,17,303,17,-12,4883,169,783
